Target language lemma,ID,User language gloss,English gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Target language example sentence,User language translation,English translation,Reference,Topic(s),Lesson,
засмеяться,3379,start laughing,,V,B1,LM,3,засмеялись,Perf.Plur.Past,Друзья тут же засмеялись.,The friends immediately started laughing.,,_,"люди, внутренний мир, общение",,
заходить,3380,come in,,V,B1,"Golosa, MiP, LM",1,заходить,Imperf.Inf,Павел никому не разрешает заходить в свой кабинет.,Pavel doesn’t allow anyone to enter his office.,,_,"люди, свободное время",,
заходить,3381,come in,,V,B1,"Golosa, MiP, LM",2,заходит,Imperf.Sing.3,Лена часто заходит к Наташе в гости.,Lena often stops by to visit Natasha.,,_,"люди, свободное время",,
заходить,3382,come in,,V,B1,"Golosa, MiP, LM",3,захожу,Imperf.Sing.1,По дороге на работу я обычно захожу за капучино в кофейню у метро.,"On my way to work, I usually stop by at a coffee shop next to the metro station to get a cappuccino.",,_,"люди, свободное время",,
защищать,3383,protect,,V,B1,LM,1,защищать,Imperf.Inf,"Дневной крем должен не только увлажнять кожу лица, но и защищать её от ультрафиолета.","Day cream should not only moisturize the skin, but also protect it from ultraviolet radiation.",,_,"люди, политика, общение",,
защищать,3384,protect,,V,B1,LM,2,защищает,Imperf.Sing.3,Министра на суде защищает адвокат Резник.,The minister is being defended in court by attorney Reznik.,,_,"люди, политика, общение",,
защищать,3385,protect,,V,B1,LM,3,защищал,Imperf.Masc.Sing.Past,"Он подрался, когда защищал девушку в клубе.",He got himself into a fight defending a girl at the club.,,_,"люди, политика, общение",,
заявление,3386,application,,N.Neut.Inan,B1,LM,1,заявление,Acc.Sing,Я хочу написать заявление об уходе с работы. Я больше не могу там работать!,I want to write a letter of resignation from work. I can't work there anymore!,,_,"учёба/работа, политика, общение",,
заявление,3387,application,,N.Neut.Inan,B1,LM,2,заявления,Nom.Plur,"Заявления на отпуск лежат на Вашем столе, Александра Николаевна.","Vacation leave applications are on your desk, Alexandra Nikolayevna.",,_,"учёба/работа, политика, общение",,
заявление,3388,application,,N.Neut.Inan,B1,LM,3,заявлений,Gen.Plur,Премьер-министр воздерживался от заявлений по поводу отставки Правительства.,The Prime Minister refrained from statements about the resignation of the Government.,,_,"учёба/работа, политика, общение",,
заяц,3389,hare,,N.Masc.Anim,B1,LM,1,заяц,Nom.Sing,"Мы зашли в лес и увидели, что под кустом сидит заяц.",We went into the forest and saw a hare sitting under a bush.,,_,животные/растения,,
заяц,3390,hare,,N.Masc.Anim,B1,LM,2,зайца,Gen.Sing,"У зайца глаза расположены так, что он замечает почти всё, что происходит вокруг.",A hare's eyes are positioned so that it notices almost everything that's happening around.,,_,животные/растения,,
заяц,3391,hare,,N.Masc.Anim,B1,LM,3,зайцы,Nom.Plur,Зайцы на зиму становятся совершенно белыми.,Hares turn completely white in winter.,,_,животные/растения,,
заяц,9478,hare,,N.Masc.Anim,B1,LM,4,зайцем,Ins.Sing,"Вы умеете ездить на автобусе зайцем?","Do you know how to travel by bus without a ticket?",,_,"животные/растения, транспорт",,
звезда,3392,star,,N.Fem.Inan,B1,LM,1,звёзд,Gen.Plur,В ясную ночь на небе видны тысячи звёзд.,Thousands of stars can be seen in the sky on a clear night.,,_,погода,,
звезда,3393,star,,N.Fem.Inan,B1,LM,2,звезды,Gen.Sing,Даже от близкой звезды свет доходит до Земли с большим опозданием.,It takes a long time for the light even from nearby stars to reach the Earth.,,_,погода,,
звезда,3394,star,,N.Fem.Inan,B1,LM,3,звёзды,Nom.Plur,"Какие, кроме Солнца, ближайшие к Земле звёзды?","Except for the Sun, what are the closest stars to the Earth?",,_,погода,,
зверь,3395,animal,,N.Masc.Anim,B1,"MiP, LM",1,зверей,Gen.Plur,Почему льва называют царём зверей?,Why is the lion called the king of beasts?,,_,животные/растения,,
зверь,3396,animal,,N.Masc.Anim,B1,"MiP, LM",2,зверь,Nom.Sing,"Бурый медведь — быстрый, ловкий и очень сильный зверь.","The brown bear is a fast, agile and very strong animal.",,_,животные/растения,,
зверь,3397,animal,,N.Masc.Anim,B1,"MiP, LM",3,зверя,Gen.Sing,В нашем зоопарке у каждого зверя есть своё имя.,In our zoo every animal has its own name.,,_,животные/растения,,
здороваться,3398,say hello,,V,B1,LM,1,здороваюсь,Imperf.Sing.1,Я всегда здороваюсь первым.,I’m always the first one to say hello.,,_,"люди, общение",,
здороваться,3399,say hello,,V,B1,LM,2,здороваются,Imperf.Plur.3,В Японии здороваются с помощью поклона.,In Japan people bow when greeting each other.,,_,"люди, общение",,
здороваться,3400,say hello,,V,B1,LM,3,здороваться,Imperf.Inf,Он не привык здороваться с соседями.,He is not in the habit of saying hello to his neighbors.,,_,"люди, общение",,
землетрясение,3401,earthquake,,N.Neut.Inan,B1,LM,1,землетрясения,Gen.Sing,В результате землетрясения обрушились сотни зданий.,"As the result of an earthquake, hundreds of buildings got destroyed.",,_,погода,,
землетрясение,3402,earthquake,,N.Neut.Inan,B1,LM,2,землетрясений,Gen.Plur,Страны Юго-Восточной Азии часто страдают от землетрясений.,South-East Asian countries often suffer from earthquakes.,,_,погода,,
землетрясение,3403,earthquake,,N.Neut.Inan,B1,LM,3,землетрясение,Nom.Sing,Землетрясение магнитудой семь баллов произошло у берегов Индонезии.,A magnitude seven earthquake took place near the coast of Indonesia.,,_,погода,,
знакомить,3404,introduce,,V,B1,LM,1,знакомил,Imperf.Masc.Sing.Past,Мой брат работал на телевидении и часто знакомил меня с известными людьми.,My brother worked in television and often introduced me to famous people.,,_,"люди, общение",,
знакомить,9476,introduce,,V,B1,LM,2,знакомит,Imperf.Sing.3,"Она преподает русский язык американцам, знакомит их с историей и культурой России.","She teaches Russian to Americans, and introduces them to the history and culture of Russia.",,_,"люди, общение",,
знаменитый,3405,famous,,A,B1,"Golosa, LM",1,знаменитый,Nom.Masc.Sing,В 1943 году французский военный лётчик и знаменитый писатель Антуан де Сент-Экзюпери написал сказку «Маленький принц».,"In 1943, the French military pilot and famous writer Antoine de Saint-Exupery wrote the fairy tale ""The Little Prince"".",,_,"описание, люди",,
знаменитый,3406,famous,,A,B1,"Golosa, LM",2,знаменитых,Gen.Plur,"На вечере собралось много знаменитых актёров, режиссёров и писателей.","Many famous actors, directors and writers gathered for the event.",,_,"описание, люди",,
знаменитый,3407,famous,,A,B1,"Golosa, LM",3,знаменитым,Ins.Masc.Sing,На утро после выхода фильма режиссёр проснулся знаменитым.,"The morning after the movie was released, its director woke up famous.",,_,"описание, люди",,
знание,3408,knowledge,,N.Neut.Inan,B1,LM,1,знаний,Gen.Plur,"Для того, чтобы написать книгу, помимо знаний нужен ещё и талант.","In order to write a book, besides knowing a lot, one needs talent.",,_,"учёба/работа, внутренний мир",,
знание,3409,knowledge,,N.Neut.Inan,B1,LM,2,знание,Nom.Sing,Знание основ программирования является преимуществом для кандидата на эту вакансию.,Knowledge of the basics of programming is an advantage for a candidate for this position.,,_,"учёба/работа, внутренний мир",,
знание,3410,knowledge,,N.Neut.Inan,B1,LM,3,знания,Gen.Sing,Для этой должности не требуется знания экономики.,Knowledge of economics is not essential for this position.,,_,"учёба/работа, внутренний мир",,
зрение,3411,eyesight,,N.Neut.Inan,B1,LM,1,зрения,Gen.Sing,"С точки зрения науки, Земля вращается вокруг Солнца.","From a scientific point of view, the Earth revolves around the Sun.",,_,здоровье,,
зритель,3412,viewer,,N.Masc.Anim,B1,LM,1,зрителей,Gen.Plur,На стадионе собралось тридцать тысяч зрителей.,Thirty thousand people came to the stadium.,,_,"люди, свободное время",,
зритель,3413,viewer,,N.Masc.Anim,B1,LM,2,зритель,Nom.Sing,"Играть актёрам нужно так, чтобы зритель забыл, что перед ним сцена.",Actors should perform so that viewers forget there’s a stage in front of them.,,_,"люди, свободное время",,
зритель,3414,viewer,,N.Masc.Anim,B1,LM,3,зрители,Nom.Plur,Все зрители уже собрались в зале.,All the members of the audience have gathered in the hall.,,_,"люди, свободное время",,
азиатский,3415,Asian,,A,B1,LM,1,азиатской,Ins.Fem.Sing,Камилла увлечена азиатской культурой.,Camilla is interested in Asian culture.,,_,"описание, путешествие, политика",,
азиатский,3416,Asian,,A,B1,LM,2,азиатских,Anim.Acc.Plur,"Мы принимали у себя азиатских коллег, приехавших в командировку.",We hosted our colleagues from Asia who came on a business trip.,,_,"описание, путешествие, политика",,
азиатский,3417,Asian,,A,B1,LM,3,азиатские,Nom.Plur,Стремительно развивающиеся азиатские страны стали потреблять больше электроэнергии.,The rapidly-developing Asian countries have started to consume more electricity.,,_,"описание, путешествие, политика",,
языкознание,3418,linguistics,,N.Neut.Inan,B1,LM,1,языкознания,Gen.Sing,Он долгое время работал в Институте языкознания.,He has been working at the Institute of Linguistics for a long time.,,_,учёба/работа,,
языкознание,3419,linguistics,,N.Neut.Inan,B1,LM,2,языкознание,Nom.Sing,"Языкознание изучает все виды, все изменения языка.","Linguistics studies all kinds of languages, and all language changes.",,_,учёба/работа,,
языкознание,3420,linguistics,,N.Neut.Inan,B1,LM,3,языкознанию,Dat.Sing,Андрей Анатольевич читает в университете лекции по языкознанию.,Andrey Anatolievitch gives linguistics lectures at the university.,,_,учёба/работа,,
зубной,3421,tooth,,A,B1,"Golosa, LM",1,зубную,Acc.Fem.Sing,Не забудь купить в магазине зубную пасту — наша закончилась.,Don't forget to buy toothpaste at the store — we've run out of it.,,_,"описание, здоровье, люди",,
зубной,3422,tooth,,A,B1,"Golosa, LM",2,зубных,Gen.Plur,Маша ужасно боится зубных врачей.,Masha is terribly afraid of dentists.,,_,"описание, здоровье, люди",,
зубной,3423,tooth,,A,B1,"Golosa, LM",3,зубному,Dat.Masc.Sing,Костя очень не хотел идти к зубному врачу.,Kostya really didn’t want to visit the dentist.,,_,"описание, здоровье, люди",,
идея,3424,idea,,N.Fem.Inan,B1,LM,1,идея,Nom.Sing,"Я считаю, что это замечательная идея!",I think this is a wonderful idea!,,_,"учёба/работа, внутренний мир",,
идея,3425,idea,,N.Fem.Inan,B1,LM,2,идей,Gen.Plur,"Алексей должен был написать эссе, но у него совершенно не было идей.","Alexey was supposed to write an essay, but he didn't have any ideas.",,_,"учёба/работа, внутренний мир",,
идея,3426,idea,,N.Fem.Inan,B1,LM,3,идею,Acc.Sing,Спасибо! Вы подали мне отличную идею!,Thank you! You gave me a great idea!,,_,"учёба/работа, внутренний мир",,
изменяться,3427,change,,V,B1,LM,1,изменяется,Imperf.Sing.3,В среднем атмосферное давление изменяется на один миллиметр каждые двенадцать метров подъёма.,"On average, atmospheric pressure changes by one millimeter for every twelve meters of elevation.",,_,"люди, учёба/работа",,
изменяться,3428,change,,A,B1,LM,2,изменяющихся,Gen.Plur,В исследовании было слишком много изменяющихся факторов.,There were too many variables in the study.,,_,"люди, учёба/работа",,
изменяться,3429,change,,V,B1,LM,3,изменяются,Imperf.Plur.3,Доходы россиян в последнее время изменяются незначительно.,The income of the Russians has not changed much lately.,,_,"люди, учёба/работа",,
изображать,3430,depict,,V,B1,LM,1,изображает,Imperf.Sing.3,"Мой сын берёт фен, как микрофон, и изображает, что поёт на сцене.",My son takes a hairdryer as a microphone and pretends that he is singing on stage.,,_,"люди, свободное время",,
изображать,3431,depict,,V,B1,LM,2,изображать,Imperf.Inf,Петя любил изображать из себя великого футболиста или гимнаста.,Petya liked to pretend that he was a great football player or a gymnast.,,_,"люди, свободное время",,
изображать,3432,depict,,A,B1,LM,3,изображающие,Acc.Plur,"Мы купили гравюры, изображающие людей и животных.",We bought prints depicting people and animals.,,_,"люди, свободное время",,
захотеть,3433,want,,V,B1,LM,1,захочет,Perf.Sing.3,Никто не захочет ждать в очереди так долго.,No one wants to wait in line that long.,,_,"люди, внутренний мир",,
захотеть,3434,want,,V,B1,LM,2,захотел,Perf.Masc.Sing.Past,Артём не захотел идти с нами на каток.,Artem didn’t want to come with us to the ice rink.,,_,"люди, внутренний мир",,
захотеть,3435,want,,V,B1,LM,3,захотели,Perf.Plur.Past,Они не захотели отдавать сына в детский сад.,They didn’t want to put their son in day care.,,_,"люди, внутренний мир",,
изучение,3436,learning,,N.Neut.Inan,B1,LM,1,изучения,Gen.Sing,Этот вопрос требует тщательного изучения со стороны экологов.,This issue demands careful study by environmentalists.,,_,учёба/работа,,
изучение,3437,learning,,N.Neut.Inan,B1,LM,2,изучение,Nom.Sing,Изучение арабского даётся Алле нелегко.,It is not easy for Alla to learn Arabic.,,_,учёба/работа,,
изучение,3438,learning,,N.Neut.Inan,B1,LM,3,изучению,Dat.Sing,Он посвятил всю свою жизнь изучению микроорганизмов.,He devoted his whole life to the study of microorganisms.,,_,учёба/работа,,
иметь,3439,have,,V,B1,"Golosa, LM",1,имеет,Imperf.Sing.3,"Он считал, что внешность не имеет значения. Важнее, какой человек по характеру.",He believed that one’s appearance is not important. What’s important is one’s personality.,,_,люди,,
иметь,3440,have,,V,B1,"Golosa, LM",2,иметь,Imperf.Inf,Журналисты должны иметь возможность открыто выражать свою точку зрения.,Journalists should have the opportunity to express their opinions openly.,,_,люди,,
иметь,3441,have,,V,B1,"Golosa, LM",3,имеют,Imperf.Plur.3,Учителя не имеют права так вести себя с детьми! Я возмущена!,Teachers do not have the right to treat children that way! I resent it!,,_,люди,,
импорт,3442,importation,,N.Masc.Inan,B1,"MiP, LM",1,импортом,Ins.Sing,"Я пытался заниматься импортом вина в Россию, но через пять лет закрыл проект из-за убытков.",I tried importing wine to Russia but closed my business after five years because it was losing money.,,_,"магазин, политика",,
импорт,3443,importation,,N.Masc.Inan,B1,"MiP, LM",2,импорта,Gen.Sing,За последние пять лет доля импорта молока в Россию сократилась.,"During the past five years, the portion of milk imported to Russia has decreased.",,_,"магазин, политика",,
импорт,3444,importation,,N.Masc.Inan,B1,"MiP, LM",3,импорт,Nom.Sing,С 2014 года в России запрещён импорт мяса из ЕС.,Importing meat to Russia from the EU has been banned since 2014.,,_,"магазин, политика",,
интересовать,3445,interest,,V,B1,"MiP, LM",1,интересует,Imperf.Sing.3,"Меня не интересует, чем ты был занят. Ты не выполнил свои обещания!",I am not interested in what you were busy doing. You didn’t keep your promises!,,_,"люди, внутренний мир",,
интересовать,3446,interest,,V,B1,"MiP, LM",2,интересуют,Imperf.Plur.3,"Акционеров компании интересуют деньги, а не комфорт потребителей.","The company's shareholders are interested in money, not in the consumers' comfort.",,_,"люди, внутренний мир",,
интересовать,3447,interest,,V,B1,"MiP, LM",3,интересовало,Imperf.Neut.Sing.Past,При проведении опроса исследователей интересовало отношение граждан к выборам.,"In carrying out this survey, the researchers were interested in people’s attitude toward the elections.",,_,"люди, внутренний мир",,
интернациональный,3448,international,,A,B1,LM,1,интернациональный,Nom.Masc.Sing,Английский в последние десятилетия — интернациональный язык общения.,English has been a language of international communication during past few decades.,,_,"описание, политика",,
интернациональный,3449,international,,A,B1,LM,2,интернациональные,Nom.Plur,У нашей компании богатые интернациональные связи.,Our company has rich international connections.,,_,"описание, политика",,
интернациональный,3450,international,,A,B1,LM,3,интернациональной,Ins.Fem.Sing,"Он не пользуется такой интернациональной популярностью, как Толкиен.",He is not as internationally popular as Tolkien.,,_,"описание, политика",,
миллиард,3451,billion,,N.Masc.Inan,B1,LM,1,млрд,Gen.Plur,,,,_,_,,
миллиард,3452,billion,,N.Masc.Inan,B1,LM,2,миллиардов,Gen.Plur,В 2017 году население Земли составляло семь с половиной миллиардов человек.,"In 2017, the world’s population was seven and a half billion people.",,_,мера,,
миллиард,3453,billion,,N.Masc.Inan,B1,LM,3,миллиарда,Gen.Sing,На строительство стадиона в Санкт-Петербурге было потрачено сорок три миллиарда рублей.,43 billion rubles were spent on the construction of the stadium in Saint Petersburg.,,_,мера,,
интонация,3454,intonation,,N.Fem.Inan,B1,LM,1,интонацией,Ins.Sing,Она сказала это с удивлённой интонацией.,She said that with an astonished intonation.,,_,общение,,
интонация,3455,intonation,,N.Fem.Inan,B1,LM,2,интонациями,Ins.Plur,"Став актрисой, Кейт стала активно работать над голосом и интонациями.","After becoming an actress, Kate started actively working on her voice and intonation.",,_,общение,,
интонация,3456,intonation,,N.Fem.Inan,B1,LM,3,интонация,Nom.Sing,В его голосе была интонация возмущения.,His voice had an intonation of indignation.,,_,общение,,
информация,3457,information,,N.Fem.Inan,B1,"Golosa, LM",1,информации,Gen.Sing,С появлением интернета поиск информации стал значительно легче.,"With the invention of the Internet, searching for information became much easier.",,_,"общение, учёба/работа",,
информация,3458,information,,N.Fem.Inan,B1,"Golosa, LM",2,информацию,Acc.Sing,Пётр запретил сотрудникам компании распространять информацию об их новом проекте.,Peter forbade the company's employees to share with anybody information about their new project.,,_,"общение, учёба/работа",,
информация,3459,information,,N.Fem.Inan,B1,"Golosa, LM",3,информация,Nom.Sing,Информация в современном мире стала товаром.,"In the modern world, information has become a commodity.",,_,"общение, учёба/работа",,
исполняться,3460,fulfill,,V,B1,LM,1,исполняться,Imperf.Inf,"В соответствии с договором, обязанности сторон должны исполняться в полном объёме.","In accordance with the agreement, the obligations of the parties must be carried out in full.",,_,учёба/работа,,
исполняться,3461,fulfill,,V,B1,LM,2,исполняется,Imperf.Sing.3,В этом году нашей компании исполняется десять лет.,Our company is celebrating its tenth anniversary this year.,,_,время,,
исполняться,3462,fulfill,,V,B1,LM,3,исполняются,Imperf.Plur.3,Я желаю вам счастья и любви! И пусть исполняются все желания!,I wish you happiness and love! And may all your wishes come true!,,_,внутренний мир,,
использовать,3463,use,,V,B1,LM,1,использовать,Imperf.Inf,На нашей фабрике было принято решение не использовать пластиковую упаковку.,A decision has been made not to use plastic packaging at our factory.,,_,учёба/работа,,
использовать,3464,use,,V,B1,LM,2,используют,Imperf.Plur.3,Ливия и Египет уже используют подземные запасы воды для сельского хозяйства.,Libya and Egypt are already using underground water supplies for agriculture.,,_,учёба/работа,,
использовать,3465,use,,V,B1,LM,3,использовали,Imperf.Plur.Past,В качестве строительного материала на Руси использовали дерево.,Wood was used as the main building material in ancient Russia.,,_,учёба/работа,,
исправлять,3466,correct,,V,B1,"Golosa, LM",1,исправлять,Imperf.Inf,"Исправлять эту ошибку, пожалуй, уже поздно. Нужно делать всё заново.",It's probably too late to correct that mistake. We need to re-do everything.,,_,учёба/работа,,
исправлять,3467,correct,,V,B1,"Golosa, LM",2,исправляют,Imperf.Plur.3,"Учителя в нашей школе не исправляют ошибки, а только указывают на них.","The teachers at our school don't correct mistakes, they only draw our attention to them.",,_,учёба/работа,,
исправлять,3468,correct,,V,B1,"Golosa, LM",3,исправляя,Imperf.Gerund,"Она видела, сколько труда он вкладывает в свои научные статьи, исправляя их и переписывая.","She saw how much effort he puts into his scientific articles, correcting and rewriting them.",,_,учёба/работа,,
исследование,3469,study,,N.Neut.Inan,B1,LM,1,исследования,Gen.Sing,Что показали результаты исследования?,What have the results of the research revealed?,,_,учёба/работа,,
исследование,3470,study,,N.Neut.Inan,B1,LM,2,исследований,Gen.Plur,Основной задачей исследований на территории Москвы является оценка экологической ситуации в разных районах города.,The main objective of research in Moscow is to evaluate the environmental situation in different parts of the city.,,_,учёба/работа,,
исследование,3471,study,,N.Neut.Inan,B1,LM,3,исследовании,Loc.Sing,"В исследовании приняли участие учёные из России, Франции, Великобритании и Японии.","Scientists from Russia, France, Great Britain and Japan took part in the research.",,_,учёба/работа,,
кавычка,3472,quotation mark,,N.Fem.Inan,B1,LM,1,кавычках,Loc.Plur,"Не стоит звать этого «учёного» (в кавычках, конечно, потому что никакого отношения к науке его исследования не имеют)!","There's no need to invite that “scientist” (in quotes, of course, because his research has nothing to do with science)!",,_,учёба/работа,,
календарь,3473,calendar,,N.Masc.Inan,B1,"Golosa, MiP, LM",1,календаря,Gen.Sing,"Вот, посмотрите. ― Он перелистал листки календаря. ― Этот месяц и следующий совершенно заполнены!","Here, look. - He flipped through the calendar. - This month and the next are completely full!",,_,время,,
календарь,3474,calendar,,N.Masc.Inan,B1,"Golosa, MiP, LM",2,календарь,Nom.Sing,Он посмотрел на стену: календарь показывал первое февраля.,He looked at the wall: the calendar indicated that it was the first of February.,,_,время,,
календарь,3475,calendar,,N.Masc.Inan,B1,"Golosa, MiP, LM",3,календаре,Loc.Sing,"На календаре январь, а на улице тает снег. Как вам такое?","It's January according to the calendar, but the snow is melting outside. How do you like that?",,_,время,,
каменный,3476,stone,,A,B1,LM,1,каменный,Inan.Acc.Masc.Sing,Не садись на каменный пол! Он холодный.,Don't sit down on the stone floor! It’s cold.,,_,"описание, жильё",,
каменный,3477,stone,,A,B1,LM,2,каменных,Loc.Plur,"Более богатые люди жили в каменных домах, а бедные — в деревянных.","The richer people lived in stone houses, and the poor people lived in wooden ones.",,_,"описание, жильё",,
каменный,3478,stone,,A,B1,LM,3,каменном,Loc.Masc.Sing,Они поселились в большом каменном доме.,They settled in a big house made of stone.,,_,"описание, жильё",,
камень,3479,stone,,N.Masc.Inan,B1,LM,1,камень,Acc.Sing,Он уронил телефон на камень и разбил экран.,He dropped his phone on a rock and broke the screen.,,_,жильё,,
камень,3480,stone,,N.Masc.Inan,B1,LM,2,камня,Gen.Sing,Эта стена сделана из камня.,This wall is made of stone.,,_,жильё,,
камень,3481,stone,,N.Masc.Inan,B1,LM,3,камней,Gen.Plur,За забором он увидел кучу камней.,Behind the fence he saw a pile of stones.,,_,жильё,,
капуста,3482,cabbage,,N.Fem.Inan,B1,"Golosa, LM, Поехали",1,капустой,Ins.Sing,"На столе стояли пироги с капустой, с мясом и с яблоками.","There were pies with cabbage, meat and apples on the table.",,_,"еда, магазин, животные/растения",,
капуста,3483,cabbage,,N.Fem.Inan,B1,"Golosa, LM, Поехали",2,капусту,Acc.Sing,Жена попросила меня купить капусту для супа.,My wife asked me to buy cabbage to make soup.,,_,"еда, магазин, животные/растения",,
капуста,3484,cabbage,,N.Fem.Inan,B1,"Golosa, LM, Поехали",3,капуста,Nom.Sing,"Для салата потребуется капуста, яблоки и оливковое масло.","For salad, you need cabbage, apples and olive oil.",,_,"еда, магазин, животные/растения",,
карточка,3485,card,,N.Fem.Inan,B1,"Golosa, MiP, LM",1,карточку,Acc.Sing,"Уже находясь за границей, они обнаружили, что оставили свою карточку дома.",They found out that they had left their credit card at home only when they were abroad already.,,_,магазин,,
карточка,3486,card,,N.Fem.Inan,B1,"Golosa, MiP, LM",2,карточки,Gen.Sing,С появлением интернета перевести деньги с карточки на карточку стало очень просто и быстро.,"After the internet appeared, money transfer from one credit card to another became very easy and fast.",,_,магазин,,
карточка,3487,card,,N.Fem.Inan,B1,"Golosa, MiP, LM",3,карточка,Nom.Sing,Где моя карточка? Неужели я опять её забыл?,Where is my credit card? I can’t believe I forgot it again!,,_,магазин,,
кассир,3488,cashier,,N.Masc.Anim,B1,"MiP, LM",1,кассир,Nom.Sing,"Почему в магазине работает только один кассир? Смотрите, какая очередь в кассу!",Why is there only one cashier working in the store? Look at the line at the cash desk!,,_,"люди, магазин",,
катание,3489,riding,,N.Neut.Inan,B1,LM,1,катания,Gen.Sing,Ирину называли королевой фигурного катания.,Irina was called the queen of figure skating.,,_,свободное время,,
катание,3490,riding,,N.Neut.Inan,B1,LM,2,катанию,Dat.Sing,В Оттаве в эти дни начинается Чемпионат мира по фигурному катанию.,The world figure skating championship begins this week in Ottawa.,,_,свободное время,,
катание,3491,riding,,N.Neut.Inan,B1,LM,3,катанием,Ins.Sing,"Они начали заниматься фигурным катанием невероятно поздно: он в 15 лет, она ― в 16.","They started figure skating incredibly late: he was 15 years old, she was 16.",,_,свободное время,,
катастрофа,3492,catastrophe,,N.Fem.Inan,B1,LM,1,катастрофа,Nom.Sing,"Это не причёска, а катастрофа! Что мне теперь делать?","It's not a hairdo, it's a disaster! What am I supposed to do now?",,_,погода,,
катастрофа,3493,catastrophe,,N.Fem.Inan,B1,LM,2,катастрофы,Gen.Sing,"По его словам, расследование причин катастрофы вертолёта продолжается.","According to what he said, investigation into the cause of the helicopter crash continues.",,_,погода,,
катастрофа,3494,catastrophe,,N.Fem.Inan,B1,LM,3,катастроф,Gen.Plur,"Раньше он был пилотом, а теперь занимается расследованием катастроф в авиации.","He used to be a pilot, but now he investigates aviation accidents.",,_,погода,,
кататься,3495,ride,,V,B1,"Golosa, LM",1,катались,Imperf.Plur.Past,Мы часто катались в этом лесу на велосипеде.,We often used to ride our bikes in this forest.,,_,свободное время,,
кататься,3496,ride,,V,B1,"Golosa, LM",2,катаются,Imperf.Plur.3,"Пока дети катаются на горных лыжах, их родители катаются на сноубордах.","While children are doing alpine skiing, their parents are snowboarding.",,_,свободное время,,
кататься,3497,ride,,V,B1,"Golosa, LM",3,катаюсь,Imperf.Sing.1,После травмы колена я больше не катаюсь на лыжах.,"Ever since my knee injury, I don't go skiing anymore.",,_,свободное время,,
пятёрка,3498,«A» grade,,N.Fem.Inan,B1,LM,1,пятёрку,Acc.Sing,Она получила пятёрку за последнее эссе.,She got an A on her last essay.,,_,учёба/работа,,
пятёрка,3499,«A» grade,,N.Fem.Inan,B1,LM,2,пятёрки,Acc.Plur,В школе она училась на одни пятёрки.,She got straight As in school.,,_,учёба/работа,,
пятёрка,3500,«A» grade,,N.Fem.Inan,B1,LM,3,пятёрке,Loc.Sing,Иван оказался в пятёрке победителей.,Ivan was in the top five.,,_,учёба/работа,,
кафедра,3501,department,,N.Fem.Inan,B1,"Golosa, LM",1,кафедры,Gen.Sing,"«Москва― довольно зелёный город», ― говорит сотрудник кафедры ботаники МГУ Елена Северова.","""Moscow is quite a green city"", says Elena Severova, an employee of the MSU Botany Department.",,_,учёба/работа,,
кафедра,3502,department,,N.Fem.Inan,B1,"Golosa, LM",2,кафедр,Gen.Plur,В настоящее время в консерватории работают шестнадцать кафедр.,Currently the Conservatory has sixteen departments.,,_,учёба/работа,,
кафедра,3503,department,,N.Fem.Inan,B1,"Golosa, LM",3,кафедру,Acc.Sing,Кафедру возглавляет профессор Петров.,The department is headed by professor Petrov.,,_,учёба/работа,,
кашель,3504,coughing,,N.Masc.Inan,B1,"LM, Поехали",1,кашель,Nom.Sing,Одним из симптомов этой болезни является кашель.,A cough is one of the symptoms of this disease.,,_,здоровье,,
кашель,3505,coughing,,N.Masc.Inan,B1,"LM, Поехали",2,кашле,Loc.Sing,"Врач сказал, что это лекарство помогает при сильном кашле.",The doctor said that this medicine helps if you have a bad cough.,,_,здоровье,,
кашель,3506,coughing,,N.Masc.Inan,B1,"LM, Поехали",3,кашля,Gen.Sing,Она забыла купить таблетки от кашля.,She forgot to buy cough drops.,,_,здоровье,,
кефир,3507,kefir,,N.Masc.Inan,B1,"Golosa, LM",1,кефира,Gen.Sing,"Чтобы сделать блины вам понадобится литр кефира, два яйца и двести граммов муки.","To make pancakes you need a liter of kefir, two eggs and two hundred grams of flour.",,_,"еда, магазин",,
кефир,3508,kefir,,N.Masc.Inan,B1,"Golosa, LM",2,кефир,Nom.Sing,"У нас закончился кефир. Купи, когда пойдёшь в магазин.",We are out of kefir. Buy some when you go to the grocery store.,,_,"еда, магазин",,
кислый,3509,sour,,A,B1,LM,1,кислого,Gen.Neut.Sing,Она открыла бутылку и почувствовала запах кислого молока.,She opened the bottle and smelled the odor of sour milk.,,_,"описание, еда",,
кислый,3510,sour,,A,B1,LM,2,кислых,Gen.Plur,"Придя в ресторан, мы заказали по салату и по порции кислых щей.","When we came to the restaurant, each of us ordered a salad and a portion of sour cabbage soup.",,_,"описание, еда",,
кислый,3511,sour,,A,B1,LM,3,кислыми,Ins.Plur,"Мы купили два килограмма яблок, но они оказались слишком кислыми.","We bought two kilograms of apples, but they were too sour.",,_,"описание, еда",,
классический,3512,classical,,A,B1,"Golosa, MiP, LM",1,классической,Gen.Fem.Sing,Раньше Оля часто бывала на концертах классической музыки.,Olya used to go to classical music concerts often.,,_,"описание, свободное время, одежда",,
